run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,cloud_invocation_count,uploaded_bytes,downloaded_bytes,mode_switch_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-bcd261d999bed714,full-s01_normal_static-pcsc-normal-5,S01_NORMAL_STATIC,PCSC,5,NORMAL,True,SUCCESS,1100,0,0,201,0,0,1,0,0,edbb01cdaa378ffe79f7d17af70b68307f7f7b211d479ac5763abd3ea3014192,4094bedead52de9e910e2290e046a4c05eb38607a58df45fdead7105b1b65408
run-91bd5dbf96643a14,full-s01_normal_static-pcsc-normal-6,S01_NORMAL_STATIC,PCSC,6,NORMAL,True,SUCCESS,1100,0,0,201,0,0,1,0,0,5f86424337db4269ae0a8ae3ce28198d8c52fd796bbc14be44f944ce3da50096,8252667c15f1bcc212a4676c1df761f993ac54f3c8b28b61821539f37c5dd379
run-3713272237d53990,full-s01_normal_static-pcsc-normal-7,S01_NORMAL_STATIC,PCSC,7,NORMAL,True,SUCCESS,1100,0,0,201,0,0,1,0,0,639ce52a153a5d3b264e8c6b66e2e13be0cccb57105242a21301216bc476ad28,870899f04904f0d95da9805657e7bc9567e9c705970fbd2f156b1c81223c942a
run-6e285ae4077d439e,full-s01_normal_static-pcsc-normal-8,S01_NORMAL_STATIC,PCSC,8,NORMAL,True,SUCCESS,1100,0,0,201,0,0,1,0,0,a4f4513075b21f9c118b1a4148628fa6efedc39747357fb4328c237d995aab01,ee04f97859300770cd743b5d04e40af840fb56cae7b90feeeb067bb3c8d9c9f2
run-75d08a47ed84f993,full-s01_normal_static-pcsc-normal-9,S01_NORMAL_STATIC,PCSC,9,NORMAL,True,SUCCESS,1100,0,0,201,0,0,1,0,0,184e8e71d783d99bee1a7e3dc17205d69beadee5fe3bd095cd3ebc9c708d0454,eccabb627fb208ce876f4235f2686daeb6e848d1b68c0cdfcd53a209a5dd8c99
run-d184c5e1fb523224,full-s01_normal_static-pcsc-degraded-0,S01_NORMAL_STATIC,PCSC,0,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,59ab334710a3428499da182b3ee381aabcbf5810965c7268eb85e71f77a48fcb,9b380fa3ee816c1e2d71476fcb4bc143ae6a48edcc292b3e86819c8fb206441f
run-7fff04828a1815db,full-s01_normal_static-pcsc-degraded-1,S01_NORMAL_STATIC,PCSC,1,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,45734ea404a05734a769796fd1f94587d89d4fdd80ea129964a485b06e0ebd16,04069e3c5fdbf754f1ab327686d9ce64370bbd809c3dbe5100661045d66eea2f
run-78780b2bf4f45003,full-s01_normal_static-pcsc-degraded-2,S01_NORMAL_STATIC,PCSC,2,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,e207382ac7c96b92b1f9b289b86be55b403f97d6221201e29e146a2272371e48,55286f752b2299f009b235124bb96e05749f044dba0356171cfad925801b5b0b
run-17a6afb62fe053d6,full-s01_normal_static-pcsc-degraded-3,S01_NORMAL_STATIC,PCSC,3,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,a4861ed1885a60478a08d0ae1d004cfdefee8f498f40a1897df4c641c352676f,54770321bd61f742edff12b5a67f40da12af45bc917a273bc435b33b8009ccb3
run-acc3c8fc0f640796,full-s01_normal_static-pcsc-degraded-4,S01_NORMAL_STATIC,PCSC,4,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,5e7b26d7f5849cc60dbab9b4dea8070635530f513c0bb2fe970cdac0ce0d6f34,c527c0a51a0a525e2786bae6e79ea0b4b3fa60587585edbe7019b74bd38b388e
run-8ff2d4c6dad7c0d9,full-s01_normal_static-pcsc-degraded-5,S01_NORMAL_STATIC,PCSC,5,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,464678860a0e41cd75700560ffb9beaf8a8b9593cf3019736f67caf547c5ece1,0ef9ca53711b1a882fead5967839de27177b59f3407f52f2fc1e57ec0657373c
run-975d5870b3ae56f1,full-s01_normal_static-pcsc-degraded-6,S01_NORMAL_STATIC,PCSC,6,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,3ae8adeaa8c5f45c0f7e5676e1a6a125c327e5102135de74b7a45767374444cc,b7ebc3114c6761d1900ec0256627f6a19cb3d1cc64a3557a9619cccf325b783f
run-e0b45019f88f68d0,full-s01_normal_static-pcsc-degraded-7,S01_NORMAL_STATIC,PCSC,7,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,487f6b0c9c8fbb12370e64641491e9392d848b8708806aa1099e95baf130aef9,c254844ccef4807a87d434b0d3b335dcc780a5464d7d03e373d72b2ed4293a0d
run-2ec685b7a4146fa9,full-s01_normal_static-pcsc-degraded-8,S01_NORMAL_STATIC,PCSC,8,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,8f7a8481d46080e564680ce1e8045f5b78c1a75e01f9a8856035030d221ba798,3b6de222413327e2689d4cef3500989c865501c40bbb67ce539f601f60cb49e6
run-ef8410d6052b511c,full-s01_normal_static-pcsc-degraded-9,S01_NORMAL_STATIC,PCSC,9,DEGRADED,True,SUCCESS,1100,0,0,201,0,0,1,0,0,4386a81e2a222356108b707bb6827fafd6d60ae19df22f11e0506f80765a9a3f,9f31e8d8afafc5d3b0df4c7b07eb6722a3b139361c98ebcf69704bb1c518139c
run-f5b8be47ee2e900a,full-s01_normal_static-pcsc-poor-0,S01_NORMAL_STATIC,PCSC,0,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,d22e120c77e9bdd64d75b9335dee55c2b0a21a3d65582d51ccb0a63dee71f0c8,c9af85583f232409dd41114a268060763f83cc0edb89c9526f1224e30fecce10
run-72553e0d44675932,full-s01_normal_static-pcsc-poor-1,S01_NORMAL_STATIC,PCSC,1,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,29556816fb1acb3951e9df1fdcb2b8a850802aa6a54d49d86d4aa9673ec90512,66a519ffd36207a8eadf04a8b58cba235ba682275c8897ca99edf027eaf3d1fe
run-4042aa93064b18f0,full-s01_normal_static-pcsc-poor-2,S01_NORMAL_STATIC,PCSC,2,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,b1481ff1273cadc44cde2dba979c763dc44f2010383db001605947497012a014,2864486cbf4e744cd32156203dbe597162290f2b1627f0db72b7ad25873f25c4
run-c42ac88ad8c163b1,full-s01_normal_static-pcsc-poor-3,S01_NORMAL_STATIC,PCSC,3,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,428febd3a2bea7ae527f2a536b013fec9061df4ba992b0a9d2c7a11596dbee87,d03d8845c9b231fa45a342b0bdf44a506dcb7660b533c63e07c798c60edf185d
run-2f7ea41f25f15684,full-s01_normal_static-pcsc-poor-4,S01_NORMAL_STATIC,PCSC,4,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,2541b7247f0cf652098bb0c02eb47a0646e9f5860daf5c09cdc58562c0b13410,3992585451da8060732cccdfb53a1d9456adec8f20c28da230c591ebaa60a5ab
run-ec211705560f5fd9,full-s01_normal_static-pcsc-poor-5,S01_NORMAL_STATIC,PCSC,5,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,6175f04044c662adfaa0bbdf6cee92995da9a3e9431524f0f44137e7492f968a,63e979a6b14142a28505567ad7d03e5d28222a0b5e803be246a8f4604c94b739
run-ea07e8f07912a1f6,full-s01_normal_static-pcsc-poor-6,S01_NORMAL_STATIC,PCSC,6,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,194e37f2546824564f6a5e567954293b3d1fd9572ffe4c7f12b0d27fca0e4e53,b559c6a801218527097d89ffdcf2d4efbe597a462b60d63478047c02bc669dd3
run-faac9b5916a70465,full-s01_normal_static-pcsc-poor-7,S01_NORMAL_STATIC,PCSC,7,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,f7529bc86af7bf41ef6298190859353d8b0cbc247c1e3ff20ca4505785b790a2,f8b0016f75d5c40a31a3e52d43f2ffe415bb0abfe8e00149d7a6f3b2cc696424
run-0d38f71887691d23,full-s01_normal_static-pcsc-poor-8,S01_NORMAL_STATIC,PCSC,8,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,fd054a4fe2ec6de8137f88c7b328173627f39eb241cb792fde9bae10af32faeb,0fafcaaf48a5aa5a56a020f5b058af373a4a79855f1bfa77d706b89832764afe
